Subject,Body
"""Mr LMNO TEST Group Pension Scheme Ref TST12345678""","""
From: abc.xyz@testmail.com
Sent: 03 October 2020 14:15
To: test.pensions@pensions.com
Subject: Mr LMNO TEST Group Pension Scheme Ref TST12345678

Dear Sir / Madam

I write to you as representative of my father LMNO to inform you that he sadly passed away on 1st January 1400

My understanding is that LMNO has two pensions with TEST (£111.11 and £11.11 net / month)

If you can please let me know what needs to happen next, and if you require any further information from me at this time?

Thank you

ABC

"""
"""Mr STU VWX""","""
From: abc.xyz@testmail.com
Sent: 08 December 2020 19:04
To: test.pensions@pensions.com
Subject: Mr STU VWX

Good day,

I have spoken with one of your advisers today but I need some clarification please.

My father Mr STU VWX NI no ZZ123123Z Ref TST12345678. Currently as my father died and had received his pension in advance the estate owes £1,111.11 which I understand. I am happy to have the money is paid out from what was his joint account with my mother, she will be keeping the account to receive payments from yourselves. could she then receive her payments?

I was also told that before any payments could be made to her, a copy of the probate must be supplied, but I see no reason for this as pensions fall outside the scope of probate. We are in the process of applying for Probate, which will probably happen end of January.

Can you confirm we can pay the amount owing and confirm that a copy of the probate is not required to release payments to my mother DEF.

If you have any questions please feel free to let me know. Thank you in advance,

Kind regards

ABC
+91 012345678
"""
"""*PRE-IDENTIFIED USER SUPPORT REQUEST*""","""
-----Original Message-----
From: test.pensions@pensions.com
Sent: 03 October 2020 13:03
To: test.pensions@pensions.com
Subject: *PRE-IDENTIFIED USER SUPPORT REQUEST*

Reply e-mail address: abc.xyz@testmail.com
Forename: ABC
Surname: XYZ
NI Number: ZZ123123Z
DOB: 01 January 1400
Home Postcode: AA12 123
Employer: TEST Pension Scheme
Subject: Spouses Pension
Content: Although widowed I have been living with a partner for some years, could you please advise me of any conditions I should be aware of relating to a Spouses benefits should my death precede hers?

Regards

JKL

"""
"""*PRE-IDENTIFIED USER SUPPORT REQUEST*** LMNO""","""
-----Original Message-----
From: test.pensions@pensions.com
Sent: 07 October 2020 00:18
To: test.pensions@pensions.com
Subject: *PRE-IDENTIFIED USER SUPPORT REQUEST*** LMNO

Reply e-mail address: abc.xyz@testmail.com
Forename: ABC
Surname: XYZ
NI Number: ZZ123123Z
DOB: 01 January 1400
Home Postcode:         
Employer: TEST
Subject: Spouses pension benefits
Content: I understand that a spouses pension is 50% of the members pension, upon the death of the member.

Is this 50% guaranteed or subject to agreement from the pension trustees?

is this 50% applicable regardless of the age of the spouse and or the difference in ages between the  member and the spouse? I have heard that the 50% does not necessarily apply if the spouse if more than 10 years younger than the member. This would be applicable to me, hence the question.

"""
"""*PRE-IDENTIFIED USER SUPPORT REQUEST*""","""
-----Original Message-----
From: test.pensions@pensions.com
Sent: 03 October 2020 13:03
To: test.pensions@pensions.com
Subject: *PRE-IDENTIFIED USER SUPPORT REQUEST*

Reply e-mail address: abc.xyz@testmail.com
Forename: ABC
Surname: XYZ
NI Number: ZZ123123Z
DOB: 01 January 1400
Home Postcode: AA12 123
Employer: TEST Pension Scheme
Subject: Spouses Pension
Content: Although widowed I have been living with a partner for some years, could you please advise me of any conditions I should be aware of relating to a Spouses benefits should my death precede hers?

Regards

JKL

"""
"""Question About My Pension After Death""","""
From: abc.xyz@testmail.com
Sent: 02 October 2020 14:25
To: test.pensions@pensions.com
Subject: Question About My Pension After Death


Good Morning,

I have a question regarding my pension after my death.

I understand my Wife who is a beneficiary will get a lump sum, but what about the pension it's self. Would my wife get a weekly/monthly percentage of my pension or just receive the lump sum?

Many Thanks

ABC XYZ

"""
"""Report of Death of a Pension Recipient""","""
From: abc.xyz@testmail.com
Sent: 05 October 2020 11:09
To: test.pensions@pensions.com
Subject: Report of Death of a Pension Recipient

Hello

I need to report the death of my father, who was in receipt of pension payments from Test. Can you please let me know what I need to do?

Thank you.

Kind regards

ABC
"""
"""Request for Pensioner ID card for LMNO""","""
From: test.pensions@pensions.com
Sent: 12 November 2020 10:14
To: test.schemes@pensions.com

Subject: Request for Pensioner ID card for LMNO
Importance: High

To : TEST Pensions

Please could you urgently provide LMNO with her pensioner ID card. Miss LMNO’s father sadly passed away on and she is still awaiting from November 2019. Mr XYZ’s Fin : TST12345678.

A pensioner ID card has been issued to her sister ABCD but the card for LMNO is still outstanding.

Please could you rectify this as a matter of urgency.
Regards

TEST PENSIONS

From: testfund@fincorp.com
Sent: 11 November 2020 20:29
To: test.pensions@pensions.com
Subject:

Hi TEST PENSIONS

Hope you are well.

Are you able to chase LMNO’s card which she has never received ( attached is ABCD’s one).

She can contact you direct if you prefer but as she is studying in XXX she has asked if I could do it on her behalf.
Many thanks
TEST FUND

"""
"""TEST Death Approval – ABC XYZ - TST12345678""","""
From: testfund@fincorp.com
Sent: 05 October 2020 07:38
To: test.pensions@pensions.com
Subject: RE: TEST Death Approval – ABC XYZ - TST12345678

TEST PENSIONS,

I agree with the recommendation in respect of Mr ABC XYZ.

From: test.ifa@fincorp.com
Sent: 21 September 2020 15:36
To: test.pensions@pensions.com
Subject: TEST Death Approval – ABC XYZ - TST12345678

TEST – ABC XYZ - Death in Retirement

Please find attached the documentation relating to the above late member who died whilst in receipt of his pension. The member was unmarried at the date of death, therefore, the Committee are being asked to consider the lump sum death benefit of £1,500.00 only.

This case is being referred to the Committee because the member did not leave a Will, however a Nomination form was completed in 2002 was in favour of his common law wife (Mrs JKL) and son (Mr DEF).

Mr DEF has advised that the late member has lived in a Care Home for the last 7 years and has had no involvement with Mrs JKL. Furthermore, since 2015, the member has been in the care of the Adult Social Care Team in Birmingham City Council, who hold a Court of Protection Order (copy attached for reference).

It would be our recommendation that Lump sum death benefit is paid to his son - Mr DEF.

Please would you agree this recommendation?


Kind Regards


TEST IFA


"""
"""TEST Death Approval – ABC XYZ - TST12345678""","""
From: testfund@fincorp.com
Sent: 05 October 2020 07:38
To: test.pensions@pensions.com
Subject: RE: TEST Death Approval – ABC XYZ - TST12345678

TEST PENSIONS,

I agree with the recommendation in respect of Mr ABC XYZ.

From: test.ifa@fincorp.com
Sent: 21 September 2020 15:36
To: test.pensions@pensions.com
Subject: TEST Death Approval – ABC XYZ - TST12345678

TEST – ABC XYZ - Death in Retirement

Please find attached the documentation relating to the above late member who died whilst in receipt of his pension. The member was unmarried at the date of death, therefore, the Committee are being asked to consider the lump sum death benefit of £1,500.00 only.

This case is being referred to the Committee because the member did not leave a Will, however a Nomination form was completed in 2002 was in favour of his common law wife (Mrs JKL) and son (Mr DEF).

Mr DEF has advised that the late member has lived in a Care Home for the last 7 years and has had no involvement with Mrs JKL. Furthermore, since 2015, the member has been in the care of the Adult Social Care Team in Birmingham City Council, who hold a Court of Protection Order (copy attached for reference).

It would be our recommendation that Lump sum death benefit is paid to his son - Mr DEF.

Please would you agree this recommendation?


Kind Regards


TEST IFA


"""
"""TEST Death Approval - ABCD (TST12345678)""","""
From: test.schemes@pensions.com
Sent: 30 October 2020 16:25
To: testfund@fincorp.com
Subject: RE: TEST Death Approval - ABCD (TST12345678)

I agree with the recommendation with regards Mr ABCD

From: test.pensions@pensions.com
Sent: 29 October 2020 17:03
To: testfund@fincorp.com
Subject: TEST Death Approval - ABCD (TST12345678)
TEST Pension Plan – ABCD – Death in Retirement
Please find attached the documentation relating to the above late member who died whilst in receipt of his pension. As the member is a widower, the Committee are being asked to consider the lump sum death benefit of £1,500 only.
This case is being referred to the Committee as the nomination form was in the name of the deceased spouse and therefore no longer valid.
The member was survived by his son and a daughter and it would be our recommendation to pay the lump sum equally to both the son and the daughter.
Please would you agree with this recommendation?
Kind regards
TEST PENSIONS


"""
"""Test Death Approval - LMNO (TST12345678)""","""
From: testfund@fincorp.com
Sent: 05 October 2020 16:33
To: test.pensions@pensions.com
Subject: RE: Test Death Approval - LMNO (TST12345678)

TEST PENSIONS,

I agree with the recommendation.

From: test.pensions@pensions.com
Sent: 05 October 2020 16:16
To: testfund@fincorp.com
Subject: FW: Test Death Approval - LMNO (TST12345678)

Test – LMNO – Death in Retirement

Further to our email below, we note that we have only received a response from XYZ.

Can we please have the additional responses so that we can proceed with the case?

Kind Regards


TEST PENSIONS


From: test.pensions@pensions.com
Sent: 03 September 2020 17:20
To: testfund@fincorp.com
Subject: Test Death Approval - LMNO (TST12345678)

Test – LMNO – Death in Retirement

Please find attached the documentation relating to the above late member who died whilst in receipt of his pension. As the member was a the Committee are being asked to consider the lump sum death benefit of £1,500 only.

This case is being referred to the Committee as there is conflict between the nomination form and the Will.

The form is in favour of his nephew Mr JKL and the Will (not signed or dated) in favour of his sister, Mrs ABC.

It would be our recommendation that the lump sum is paid to his nephew in accordance with his nomination form.

Please would you agree with this recommendation?

Kind regards


TEST PENSIONS


"""
"""TEST Death Approval --- LMNO (TST12345678)""","""
From: test.schemes@pensions.com<mailto:test.schemes@pensions.com>
Sent: 13 December 2020 15:40
To: testfund@fincorp.com
Subject: RE: TEST Death Approval - LMNO (TST12345678)

I agree with the recommendation with regards Mr LMNO
Regards
TEST SCHEMES
From: test.pensions@pensions.com
Sent: 03 December 2020 11:41
To: testfund@fincorp.com
Subject: RE: TEST Death Approval - LMNO (TST12345678)
TEST – LMNO – Death in Retirement
Please find attached the documentation relating to the above late member who died whilst in receipt of his pension. The member was survived by his spouse, therefore, the Committee are being asked to consider the lump sum death benefit of £1,500.00 only.
This case is being referred to the Committee as there is no nomination form.
It would be our recommendation that the lump sum is paid to his spouse - Mrs JKL in line with his Will.
Please would you agree with this recommendation?
Kind regards
TEST PENSIONS


"""
"""TEST Death Approval --- LMNO (TST12345678)""","""
From: test.schemes@pensions.com<mailto:test.schemes@pensions.com>
Sent: 13 December 2020 15:40
To: testfund@fincorp.com
Subject: RE: TEST Death Approval - LMNO (TST12345678)

I agree with the recommendation with regards Mr LMNO
Regards
TEST SCHEMES
From: test.pensions@pensions.com
Sent: 03 December 2020 11:41
To: testfund@fincorp.com
Subject: RE: TEST Death Approval - LMNO (TST12345678)
TEST – LMNO – Death in Retirement
Please find attached the documentation relating to the above late member who died whilst in receipt of his pension. The member was survived by his spouse, therefore, the Committee are being asked to consider the lump sum death benefit of £1,500.00 only.
This case is being referred to the Committee as there is no nomination form.
It would be our recommendation that the lump sum is paid to his spouse - Mrs JKL in line with his Will.
Please would you agree with this recommendation?
Kind regards
TEST PENSIONS


"""
""" TEST Pension Fund : DEF""","""
From: abc.xyz@testmail.com
Sent: 05 October 2020 01:30
To: test.pensions@pensions.com
Subject: TEST Pension Fund : DEF

Good Morning,
Following the emails below my father XYZ has received a letter from you dated 01 January 1400 regarding the death on my mother DEF - your reference TST12345678.
In that letter you say you need to see certain original documents being my fathers birth certificate (or passport), marriage certificate and death certificate.
To say the least requiring original documents to be sent around the world is both unusual and high risk.
In dealing will my mothers estate no other pension provider (XXX or XXX) has asked for anything other than certified copies of documents.
To this end I spoke with a representative of TEST deceased estates department in XXX. He thought your need to be extraordinary and said certified copies suffice here.
Questions:
1.Can my father send certified copies authorised by an appropriate authority or a TEST officer at you XXX office.
2.What document or documents would be acceptable in lieu of a XXX marriage certificate as my father is unable to locate this document.
I await your reply.
Regards
ABC




------ Original Message ------
From: abc.xyz@testmail.com
To: test.pensions@pensions.com
Sent: Thursday, 13 Aug, 2020 At 7:41 AM
Subject: TEST Pension Fund : DEF
In my previous response to this I gave DEF’S DOB as 01 January 1400 which was an error.
The correct DOB is 01 January 1400.
Regards
ABC



------ Original Message ------
From: test.pensions@pensions.com
To: abc.xyz@testmail.com
Sent: Tuesday, 11 Aug, 2020 At 11:02 PM
Subject: TEST Pension Fund : DEF
Dear ABC
TEST Pension Fund
Please accept my sincerest condolences for your loss.
In order to assist us, could you please provide us with the following details:

• Date of birth:

• Has the death been registered and Death Certificate issued:

• What address did you/ will you use to register the death:

• Did the member have any financial dependants or a spouse?

• Address for condolence pack:

• Did the member leave a will?

• If yes - can I take the name of the executor?

• Contact number:
If you require any further information or have any questions please contact the Customer Support Centre on +91 012345678 between 8.30am and 5.30pm, Monday to Friday, or alternatively e-mail us at test.pensions@pensions.com.
Yours sincerely
TEST PENSIONS
From: abc.xyz@testmail.com
Sent: 08 August 2020 05:45
To: test.pensions@pensions.com
Subject: *****
Good Morning,
This is to let you know that my mother ***** died of natural causes on 1st January 1400
I assume you will terminate her payments from the TEST Pension funds.
If there is anything else my father or I need to do please let me know.
Also does your scheme provide any funeral or bereavement benefits for my father?
Kind regards
ABC
"""
"""TEST Pension Fund - Late LMNO""","""
From: abc.xyz@testmail.com
Sent: 06 October 2020 16:05
To: test.pensions@pensions.com
Subject: RE: TEST Pension Fund - Late LMNO

Dear Sirs
We can confirm the following information as requested:
LMNO
Address: 10 Test Road,
Test Street,
AA12 123

Date of Death: 1st January 1400
National Insurance No: ZZ123123Z
We look forward to hearing from you.

ABC
________________________________
From: test.pensions@pensions.com
Sent: 06 October 2020 11:10
To: abc.xyz@testmail.com
Subject: TEST Pension Fund - Late LMNO
Dear TEST IFA
TEST Pension Fund
Thank you for your email regarding the TEST Pension Fund.

To enable us to answer your enquiry, please could you provide the member's full address, date of birth and National Insurance number for data verification purposes?
If you require any further information or have any questions please contact the Customer Support Centre on +91 012345678 between 8.30am and 5.30pm, Monday to Friday, or alternatively e-mail us at test.pensions@pensions.com
Yours sincerely
TEST PENSIONS

From: test.ifa@fincorp.com
Sent: 02 October 2020 16:23
To: test.pensions@pensions.com
Subject: LMNO Deceased - Reference: TST12345678
Dear Sirs
We are in receipt of your letter dated 16 June 2020 to Miss ABC. We can confirm that Miss ABC has appointed Test IFA to act on her behalf in relation to the administration of the estate of her late father, LMNO.
We have noted the overpayment of pension which is due back from the estate. Unfortunately, we have not yet obtained Letters of Administration and therefore do not have access to the requisite funds to reimburse you. However, we will be in touch in that regard with an update as soon as we are able.
On a separate note we have arranged for the Funeral Benefit Form to be signed and we will return this to you in due course. In the meantime, please find enclosed the funeral receipt and invoice.
We look forward to hearing from you.
Yours faithfully
TEST IFA
"""
"""TEST Pension Fund - Late Mr DEF""","""
From: abc.xyz@testmail.com
Sent: 05 October 2020 10:39
To: test.pensions@pensions.com
Subject: TEST Pension Fund - Late Mr DEF

Dear TEST PENSIONS
We have not yet received any letter regarding the TEST Pension Scheme. Please can you let me know when this will be sent out, and if it has the date in which it was sent?
Kind Regards
ABC

From: abc.xyz@testmail.com
Sent: 24 September 2020 14:11
To: test.pensions@pensions.com
Subject: TEST Pension Fund - Late Mr DEF
Dear TEST PENSIONS
Thank you for your email. Please send any correspondence to the following address:
ABC
TEST COs
10 Test Road,
Test Street,
AA12 123
If you have any further queries, please let me know.
Kind Regards
ABC

From: test.pensions@pensions.com
Sent: 24 September 2020 12:48
To: abc.xyz@testmail.com
Subject: TEST Pension Fund - Late Mr DEF
Dear ABC
TEST Pension Fund
Thank you for your email regarding the TEST Pension Fund.
Please confirm your office address to which we should send the correspondence.
If you require any further information or have any questions please contact the Customer Support Centre on +91 012345678 between 8.30am and 5.30pm, Monday to Friday, or alternatively e-mail us at test.pensions@pensions.com.
Yours sincerely
TEST PENSIONS

From: abc.xyz@testmail.com
Sent: 21 September 2020 14:54
To: test.pensions@pensions.com
Subject: TEST Pension Fund - Late Mr DEF
Dear TEST PENSIONS
Thank you for your email. We have been in touch with the deceased’s family and they have been able to locate an old piece of correspondence for the TEST Pension. Please find this attached along with his death certificate. Both have been password protected with his date of birth in the format DDMMYYYY. And I will email a note of this to you immediately after sending this email.
Please note that the family have highlighted that the date of birth shown on your attached correspondence for the deceased is incorrect. His correct date of birth is shown on his death certificate.
Once you have located the deceased’s pension details, please advise of any payments due to his Estate from the pension scheme including any benefits and cash lump sums due to any beneficiaries or dependents together with the next steps necessary to process any such claims.
I look forward to hearing back from you shortly but if you have any queries, please let me know. My direct line is +91 012345678.
Kind Regards
ABC

From: test.pensions@pensions.com
Sent: 02 September 2020 10:47
To: abc.xyz@testmail.com
Subject: TEST Pension Fund - Late Mr DEF
Dear ABC
TEST Pension Fund
Thank you for your email regarding the TEST Pension Fund.
Unfortunately, I can confirm we are unable to locate a record of benefits within the above Scheme using the details you have provided.
In addition could you please supply any additional reference numbers or the name of anyone you have received correspondence from within TEST in the past?
If you require any further information or have any questions please contact the Customer Support Centre on +91 012345678 between 8.30am and 5.30pm, Monday to Friday, or alternatively e-mail us at test.pensions@pensions.com<mailto:test.pensions@pensions.com>

Yours sincerely
TEST PENSIONS

From: abc.xyz@testmail.com
Sent: 01 September 2020 14:32
To: test.pensions@pensions.com
Subject: Death of TEST Pension member
Dear Sir/Madam
Mr ADEFBC
Date of death 01 January 1400
NINO **********
**********
We have been appointed by the executors of the above named deceased in relation to the administration of his Estate and write to notify you of his death as he was in receipt of a pension from the TEST Pension Scheme as a former employee.
Please advise of any payments due to the Estate from the scheme including any benefits and cash lump sums due to any beneficiaries or dependents together with the next steps necessary to process any such claims.
We look forward to hearing back from you in due course.
Kind Regards
ABC
"""
"""Test Pension Fund_DEF_ZZ123123Z""","""
From: testfund@fincorp.com
Sent: 06 October 2020 15:59
To: test.pensions@pensions.com<mailto:test.pensions@pensions.com>
Subject: Test Pension Fund_DEF_ZZ123123Z


Hi team,



Member Name: DEF

NINO: ZZ123123Z

Scheme Name: Test Pension Fund



Please create an admin bizflow job for the attached request from member’s NOK informing member Death.



Please verify the Date of Death and get back to us. We have suspended members record.

Regards,

Test Fund




"""
"""TEST Pension Scheme- LMNO""","""
From: abc.xyz@testmail.com
Sent: 07 October 2020 11:14
To: test.pensions@pensions.com
Subject: RE: TEST Pension Scheme- LMNO

She was born on 1st January 1400 and died on Monday 1st January 1400. Death has been registered electronically and certificate issued. There are no financial dependents.

I am LMNO’s son, ABC, 10 Test Road, Test Street, AA12 123. Phone number +91 012345678

ABC (son)


From: test.pensions@pensions.com
Sent: 07 October 2020 04:08
To: abc.xyz@testmail.com
Subject: TEST Pension Scheme- LMNO

Dear ABC

TEST Pension Scheme

Thank you for your email on regarding the TEST Pension Scheme.

Please accept my sincerest condolences for your loss.

In order to assist us, could you please provide us with the following details:


·         Emailer’s relation to member:



·         Date of birth:



·         Date of death:



·         Has the death been registered and Death Certificate issued:



·         Did the member have any financial dependents?



·         Address for condolence:



·         Contact number:

If you have any further queries, please do not hesitate to contact the Customer Support Centre between 8.30am and 5.30pm, Monday to Friday on our helpline +91 012345678. Alternatively, please e-mail us at test.pensions@pensions.com

Yours sincerely

TEST PENSIONS


From: abc.xyz@testmail.com
Sent: 05 October 2020 15:02
To: test.pensions@pensions.com
Subject: Bereavement

I am contacting you to advise of the death of one of your pensioners and to stop any undue payments.
The deceased is ***** Member No. TST12345678 Nat Ins No. ******,.
She was residing at *****

ABC (Son and executor)


"""
"""TEST Pension Scheme""","""
From: abc.xyz@testmail.com
Sent: 26 October 2020 19:29
To: test.pensions@pensions.com
Subject: TEST Pension Scheme


Reference: TST12345678

Dear TEST PENSIONS,

I am enclosing the information you asked for in your recent letter dated 23 October 2020.

The beneficiaries addresses you asked for are

Mrs DEF
10 Test Road,
Test Street,
AA12 123

Mr JKL
110 Test Road,
Test Street,
EE12 123

The solicitor dealing with the Estate of LMNO is STU, her email is
stu@testmail.com<mailto:stu@testmail.com>

Yours sincerely

ABC


"""
"""Test Pension Scheme_ABC XYZ_TST12345678 ""","""
From: testfund@fincorp.com
Sent: 20 November 2020 09:29
To: test.pensions@pensions.com
Subject: Re: Test Pension Scheme_ABC XYZ_TST12345678

Hello
I have checked with Mr ABC who confirmed that he had sent documents when they were requested. He will download and complete again.
Regards
Test Fund

On 18 Nov 2020, at 12:06, test.pensions@pensions.com wrote:
Dear TEST FUND,
It is about the statement and forms that we sent to you following the death of Mrs ABC.
We do not think that you have returned the documents requested.
What do I need to do?
Please refer to the statement that we sent to you and send us the information requested.

• Completed Beneficiary Form.

• Completed Bank Mandate Form. Please include your address and National Insurance Number.
Where can I get more information or ask questions?
Please call +91 012345678 to speak to our team.
Lines are open between 9.00am and 5.00pm, Monday to Friday. Please have the member’s National Insurance number ready so that we can deal with your enquiry quickly.
If you write to us, please provide the member’s full name and National Insurance number, the Scheme name and the reference TST12345678.
Regards,
TEST PENSIONS
"""
"""Test Retirement and Death Benefits Plan - Test Section - LMNO""","""
From: abc.xyz@testmail.com
Sent: 05 October 2020 12:55
To: test.pensions@pensions.com
Subject: Re: Test Retirement and Death Benefits Plan - Test Section - LMNO

Dear Sir, Madam

Thank you for your response.

As requested on your email below:

• Member’s address at date of death:



10 Test Road, Test Street, AA12 123

• Has the death been registered and Death Certificate issued:



see attached

• Did the member have any financial dependents?

My mother, his spouse. Mrs JKL

• Address for condolence:

101 Test Road, Test Street, EA12 123

• Contact number:
+91 012345678 - my mother does not speak fluent English, I am the next of kin and arranging Dad's estate and i can be contacted on +91 012345678, alternatively we can arrange that we are all together at a suitable time to take a call should you wish to speak to my mother.

Regards

ABC XYZ


________________________________
From: test.pensions@pensions.com
Sent: 05 October 2020 10:37
To: abc.xyz@testmail.com
Subject: Test Retirement and Death Benefits Plan - Test Section - LMNO

Dear ABC XYZ

Test Retirement and Death Benefits Plan - Test Section

Thank you for your email regarding the Test Retirement and Death Benefits Plan.

Please accept my sincerest condolences for your loss.

In order to assist us, could you please provide us with the following details:

• Member’s address at date of death:

• Has the death been registered and Death Certificate issued:

• Did the member have any financial dependents?

• Address for condolence:

• Contact number:

If you require any further information or have any questions please contact the Customer Support Centre on +91 012345678 between 8.30am and 5.30pm, Monday to Friday, or alternatively e-mail us at test.pensions@pensions.com<mailto:test.pensions@pensions.com>.



Yours sincerely

TEST PENSIONS

From: abc.xyz@testmail.com
Sent: 01 October 2020 17:53
To: test.pensions@pensions.com
Subject: Test Retirement and Death Benefits Plan - Test Section - LMNO

As requested National insurance number

****

Regards

ABC XYZ

-------- Original message --------

From: abc.xyz@testmail.com

Date: 01/10/2020 12:50 (GMT+00:00)

To: test.pensions@pensions.com

Subject: Test Retirement and Death Benefits Plan - Test Section - LMNO

Your ref: TST12345678

Dear Sir, Madam

We wish to inform you of the death of our Father *** on 18.09.2020.

****

As you hold his pension and his cover includes spouse/ dependants on his cover.

I, his son ABC XYZ as his next of kin and person responsible for his estate, wish to inform you that our mother Mrs JKL is the beneficiary of all of dads finances.

Please let us know how we can arrange this at your earliest convenience.

I can be contacted on +91 012345678

Or alternatively in writing to my parents address as on your records and as above

Regards

ABC XYZ


"""
"""TEST scheme - Ref TST12345678""","""
From: test.pensions@pensions.com
Sent: 19 October 2020 12:33
To: test.schemes@pensions.com
Subject: TEST scheme - Ref TST12345678


Hi Team,



Please see below query and reply accordingly.



Many Thanks,


TEST PENSIONS

From: abc.xyz@testmail.com
Sent: 15 October 2020 16:52
To: test.pensions@pensions.com
Subject: Ref TST12345678

Hi I'm writing with regards to above account. My Aunt LMNO recently passed away. A payment was made into joint account. I want to return this money. I don't have any of the details asked for in the forms I was sent out but I am in the process of trying to get these. Shall I just leave the relevant sections and sign and post it back to you. I have tried ringing the number but havnt had any success trying to speak to an agent in person. Please advise.
Regards
ABC
"""
"""TST12345678 regarding my late father Mr LMNO""","""
From: test.pensions@pensions.com
Sent: 09 October 2020 14:45
To: test.pensions@pensions.com
Subject: Re: TST12345678 regarding my late father Mr LMNO

Good afternoon

Thank you for your email acknowledgment. The information requested for data verification is as follows:

Date of birth: 01/01/1400
Member's National Insurance Number: ZZ123123Z

I look forward to hearing from you in due course.

Kind regards

Ms ABC


On Thu, 8 Oct 2020 at 07:20, test.pensions@pensions.com wrote:
Dear Ms ABC
TEST Pension Scheme
Thank you for your email regarding the TEST Pension Scheme.
In order to forward your email to our administration department, please could you provide the member's National Insurance number and date of birth for data verification purposes.
If you have any further queries, please do not hesitate to contact the Customer Support Centre between 8.30am and 5.30pm, Monday to Friday on our helpline +91 012345678. Alternatively, please e-mail us at test.pensions@pensions.com
Yours sincerely
TEST PENSIONS
From: abc.xyz@testmail.com
Sent: 06 October 2020 13:27
To: test.pensions@pensions.com
Subject: Reference: TST12345678 regarding my late father Mr LMNO
Good afternoon
Further to your postal letter, dated 23rd September 2020, and my subsequent telephone call last week with one of your colleagues, I have been advised to provide some more financial information regarding my late father's TEST pension fund, and some additional ""Impact info"" I am now facing having been my dad's carer.
My dad received his weekly state pension (with an element of pension credit), as well as a payment in the form of Attendance Allowance every 4 weeks. As my dad's carer for the last 11 years, and his sole carer since 2009, and his appointee since 2017, I started receiving a weekly payment in the form of Carers Allowance around 2015. In dad's final years TEST started paying his income into my bank account for his own welfare (elements of XX AND XX with finances). We were instructed to always make sure dad received this but to monitor his spending as he wasn't great with handling his money. I therefore enclose attachments of the above, taken from my bank statements.
I believe this is important information requested that your colleague advised to forward to yourselves. I also want to offer you an impact insight as to, regardless of being an adult in my own right, how interdependent my position became with dad too.
I had to give up full time work in 2015 due to ill health, namely FIbromyalgia, and shortly after my partner had to give up his full time employment to help with my own care, as well as that of my father. This was an awful situation to find ourselves in, and we struggled by as best we could. When I received the carers allowance that was naturally of great help, but without the odd financial crutch here and there from dad, from his attendance allowance to attend to his needs, the situation would've been harder. There was never a requirement for dad to provide this, and indeed it was certainly not a regular helping hand, but on occasions when our teenage daughter was needing things like uniform for school, Xmas etc etc, it was a very welcome and lovely helping hand.
Naturally upon dad's passing we knew things would go back to a certain level of hardship, with the carers allowance ending 8 weeks after dad's passing, and no more loving occasional helping hand. Of course this is just how life is, and no money will ever replace my longing to have at the very least one more cup of tea or a natter with him, and I terribly miss his persistent curmudgeonly manner. In short, his passing continues to be felt and will do for however long that will be.
I hope this email and information requested is both sufficient and helpful for the panel, and I shall await your further consideration in due course.
Yours sincerely
Ms ABC


"""
"""TST12345678""","""
From: abc.xyz@testmail.com
Sent: 02 October 2020 14:46
To: test.pensions@pensions.com
Subject: TST12345678

Dear Sir/Madam

I am the next of kin to XYZ who died earlier this year.

We received communication from you regarding regarding my deceased father's pension and we returned the required form with death certificate some weeks ago.

I have subsequently received correspondence from you saying you have not had a response from me. I have tried to call with no success so would like to know how this can be resolved.

Yours faithfully

ABC

"""
"""TST12345678_ABC""","""
-----Original Message-----
From: abc.xyz@testmail.com
Sent: 17 October 2020 11:47
To: test.pensions@pensions.com
Subject: Ref: TST12345678

Dear Sirs

Thank you for your letter ref above regarding my pension.  I do not have a spouse and what I really wanted to know, for inheritance tax purposes, will there be a lump sum payable upon my death and if so how much.  I look forward to hearing from you.

Regards

ABC

"""
"""Your reference: TST12345678""","""
From: testfund@fincorp.com
Sent: 08 October 2020 07:49
To: test.ifa@fincorp.com
Subject: Your reference: TST12345678

Our reference: ZZ123123Z

Good Morning,

We have received your letter of 18 September 2020 regarding the passing of Mr LMNO.

We have searched our records and cannot find a policy for Mr LMNO on the Money Purchase department.

We are unable to forward your letter to the correct department as we are unsure of the department, please could you confirm who your usual contact is for the TEST Retirement & Death Benefits Plan – XXXX Section.

If we do not hear from you within the next 20 days we will close the request.

Kind Regards

TEST FUND


"""
